+-------------+------+--------+-------+-----------+
|  series id  | year | period | value | footnotes |
+-------------+------+--------+-------+-----------+
| LNS12000091 | 2018 |  M12   | 32881 |           |
| LNS12000091 | 2018 |  M11   | 32796 |           |
| LNS12000091 | 2018 |  M10   | 32857 |           |
| LNS12000091 | 2018 |  M09   | 32501 |           |
| LNS12000091 | 2018 |  M08   | 32655 |           |
| LNS12000091 | 2018 |  M07   | 32695 |           |
| LNS12000091 | 2018 |  M06   | 32577 |           |
| LNS12000091 | 2018 |  M05   | 32488 |           |
| LNS12000091 | 2018 |  M04   | 32604 |           |
| LNS12000091 | 2018 |  M03   | 32465 |           |
| LNS12000091 | 2018 |  M02   | 32494 |           |
| LNS12000091 | 2018 |  M01   | 32381 |           |
| LNS12000091 | 2017 |  M12   | 32304 |           |
| LNS12000091 | 2017 |  M11   | 32156 |           |
| LNS12000091 | 2017 |  M10   | 32100 |           |
| LNS12000091 | 2017 |  M09   | 32069 |           |
| LNS12000091 | 2017 |  M08   | 31848 |           |
| LNS12000091 | 2017 |  M07   | 31876 |           |
| LNS12000091 | 2017 |  M06   | 31953 |           |
| LNS12000091 | 2017 |  M05   | 31822 |           |
| LNS12000091 | 2017 |  M04   | 31770 |           |
| LNS12000091 | 2017 |  M03   | 31632 |           |
| LNS12000091 | 2017 |  M02   | 31611 |           |
| LNS12000091 | 2017 |  M01   | 31545 |           |
| LNS12000091 | 2016 |  M12   | 31574 |           |
| LNS12000091 | 2016 |  M11   | 31719 |           |
| LNS12000091 | 2016 |  M10   | 31610 |           |
| LNS12000091 | 2016 |  M09   | 31573 |           |
| LNS12000091 | 2016 |  M08   | 31416 |           |
| LNS12000091 | 2016 |  M07   | 31601 |           |
| LNS12000091 | 2016 |  M06   | 31553 |           |
| LNS12000091 | 2016 |  M05   | 31582 |           |
| LNS12000091 | 2016 |  M04   | 31467 |           |
| LNS12000091 | 2016 |  M03   | 31603 |           |
| LNS12000091 | 2016 |  M02   | 31540 |           |
| LNS12000091 | 2016 |  M01   | 31500 |           |
| LNS12000091 | 2015 |  M12   | 31448 |           |
| LNS12000091 | 2015 |  M11   | 31333 |           |
| LNS12000091 | 2015 |  M10   | 31367 |           |
| LNS12000091 | 2015 |  M09   | 31359 |           |
| LNS12000091 | 2015 |  M08   | 31367 |           |
| LNS12000091 | 2015 |  M07   | 31245 |           |
| LNS12000091 | 2015 |  M06   | 31307 |           |
| LNS12000091 | 2015 |  M05   | 31112 |           |
| LNS12000091 | 2015 |  M04   | 31125 |           |
| LNS12000091 | 2015 |  M03   | 31134 |           |
| LNS12000091 | 2015 |  M02   | 31084 |           |
| LNS12000091 | 2015 |  M01   | 31137 |           |
| LNS12000091 | 2014 |  M12   | 31014 |           |
| LNS12000091 | 2014 |  M11   | 31005 |           |
| LNS12000091 | 2014 |  M10   | 31000 |           |
| LNS12000091 | 2014 |  M09   | 31029 |           |
| LNS12000091 | 2014 |  M08   | 30953 |           |
| LNS12000091 | 2014 |  M07   | 30846 |           |
| LNS12000091 | 2014 |  M06   | 30953 |           |
| LNS12000091 | 2014 |  M05   | 30862 |           |
| LNS12000091 | 2014 |  M04   | 30938 |           |
| LNS12000091 | 2014 |  M03   | 30963 |           |
| LNS12000091 | 2014 |  M02   | 31028 |           |
| LNS12000091 | 2014 |  M01   | 31006 |           |
| LNS12000091 | 2013 |  M12   | 30766 |           |
| LNS12000091 | 2013 |  M11   | 30690 |           |
| LNS12000091 | 2013 |  M10   | 30559 |           |
| LNS12000091 | 2013 |  M09   | 30754 |           |
| LNS12000091 | 2013 |  M08   | 30779 |           |
| LNS12000091 | 2013 |  M07   | 30746 |           |
| LNS12000091 | 2013 |  M06   | 30587 |           |
| LNS12000091 | 2013 |  M05   | 30718 |           |
| LNS12000091 | 2013 |  M04   | 30646 |           |
| LNS12000091 | 2013 |  M03   | 30604 |           |
| LNS12000091 | 2013 |  M02   | 30527 |           |
| LNS12000091 | 2013 |  M01   | 30426 |           |
| LNS12000091 | 2012 |  M12   | 30548 |           |
| LNS12000091 | 2012 |  M11   | 30516 |           |
| LNS12000091 | 2012 |  M10   | 30729 |           |
| LNS12000091 | 2012 |  M09   | 30645 |           |
| LNS12000091 | 2012 |  M08   | 30588 |           |
| LNS12000091 | 2012 |  M07   | 30530 |           |
| LNS12000091 | 2012 |  M06   | 30495 |           |
| LNS12000091 | 2012 |  M05   | 30534 |           |
| LNS12000091 | 2012 |  M04   | 30549 |           |
| LNS12000091 | 2012 |  M03   | 30620 |           |
| LNS12000091 | 2012 |  M02   | 30616 |           |
| LNS12000091 | 2012 |  M01   | 30574 |           |
| LNS12000091 | 2011 |  M12   | 30356 |           |
| LNS12000091 | 2011 |  M11   | 30285 |           |
| LNS12000091 | 2011 |  M10   | 30120 |           |
| LNS12000091 | 2011 |  M09   | 30089 |           |
| LNS12000091 | 2011 |  M08   | 30052 |           |
| LNS12000091 | 2011 |  M07   | 30295 |           |
| LNS12000091 | 2011 |  M06   | 30227 |           |
| LNS12000091 | 2011 |  M05   | 30283 |           |
| LNS12000091 | 2011 |  M04   | 30396 |           |
| LNS12000091 | 2011 |  M03   | 30516 |           |
| LNS12000091 | 2011 |  M02   | 30351 |           |
| LNS12000091 | 2011 |  M01   | 30305 |           |
| LNS12000091 | 2010 |  M12   | 30513 |           |
| LNS12000091 | 2010 |  M11   | 30567 |           |
| LNS12000091 | 2010 |  M10   | 30696 |           |
| LNS12000091 | 2010 |  M09   | 30569 |           |
| LNS12000091 | 2010 |  M08   | 30635 |           |
| LNS12000091 | 2010 |  M07   | 30620 |           |
| LNS12000091 | 2010 |  M06   | 30777 |           |
| LNS12000091 | 2010 |  M05   | 30813 |           |
| LNS12000091 | 2010 |  M04   | 30827 |           |
| LNS12000091 | 2010 |  M03   | 30692 |           |
| LNS12000091 | 2010 |  M02   | 30569 |           |
| LNS12000091 | 2010 |  M01   | 30688 |           |
| LNS12000091 | 2009 |  M12   | 30791 |           |
| LNS12000091 | 2009 |  M11   | 31048 |           |
| LNS12000091 | 2009 |  M10   | 30952 |           |
| LNS12000091 | 2009 |  M09   | 31264 |           |
| LNS12000091 | 2009 |  M08   | 31460 |           |
| LNS12000091 | 2009 |  M07   | 31581 |           |
| LNS12000091 | 2009 |  M06   | 31700 |           |
| LNS12000091 | 2009 |  M05   | 31639 |           |
| LNS12000091 | 2009 |  M04   | 31734 |           |
| LNS12000091 | 2009 |  M03   | 31726 |           |
| LNS12000091 | 2009 |  M02   | 32052 |           |
| LNS12000091 | 2009 |  M01   | 32274 |           |
+-------------+------+--------+-------+-----------+
