+-------------+------+--------+-------+-----------+
|  series id  | year | period | value | footnotes |
+-------------+------+--------+-------+-----------+
| LNU02000097 | 2018 |  M12   |  9951 |           |
| LNU02000097 | 2018 |  M11   | 10046 |           |
| LNU02000097 | 2018 |  M10   |  9925 |           |
| LNU02000097 | 2018 |  M09   |  9933 |           |
| LNU02000097 | 2018 |  M08   |  9687 |           |
| LNU02000097 | 2018 |  M07   |  9649 |           |
| LNU02000097 | 2018 |  M06   |  9644 |           |
| LNU02000097 | 2018 |  M05   |  9811 |           |
| LNU02000097 | 2018 |  M04   |  9696 |           |
| LNU02000097 | 2018 |  M03   |  9578 |           |
| LNU02000097 | 2018 |  M02   |  9383 |           |
| LNU02000097 | 2018 |  M01   |  9163 |           |
| LNU02000097 | 2017 |  M12   |  9251 |           |
| LNU02000097 | 2017 |  M11   |  9370 |           |
| LNU02000097 | 2017 |  M10   |  9292 |           |
| LNU02000097 | 2017 |  M09   |  9461 |           |
| LNU02000097 | 2017 |  M08   |  9205 |           |
| LNU02000097 | 2017 |  M07   |  9145 |           |
| LNU02000097 | 2017 |  M06   |  9141 |           |
| LNU02000097 | 2017 |  M05   |  9351 |           |
| LNU02000097 | 2017 |  M04   |  9332 |           |
| LNU02000097 | 2017 |  M03   |  9166 |           |
| LNU02000097 | 2017 |  M02   |  9158 |           |
| LNU02000097 | 2017 |  M01   |  8938 |           |
| LNU02000097 | 2016 |  M12   |  8820 |           |
| LNU02000097 | 2016 |  M11   |  9011 |           |
| LNU02000097 | 2016 |  M10   |  9046 |           |
| LNU02000097 | 2016 |  M09   |  9056 |           |
| LNU02000097 | 2016 |  M08   |  8950 |           |
| LNU02000097 | 2016 |  M07   |  8940 |           |
| LNU02000097 | 2016 |  M06   |  8909 |           |
| LNU02000097 | 2016 |  M05   |  8992 |           |
| LNU02000097 | 2016 |  M04   |  9032 |           |
| LNU02000097 | 2016 |  M03   |  8924 |           |
| LNU02000097 | 2016 |  M02   |  8771 |           |
| LNU02000097 | 2016 |  M01   |  8543 |           |
| LNU02000097 | 2015 |  M12   |  8552 |           |
| LNU02000097 | 2015 |  M11   |  8607 |           |
| LNU02000097 | 2015 |  M10   |  8737 |           |
| LNU02000097 | 2015 |  M09   |  8490 |           |
| LNU02000097 | 2015 |  M08   |  8410 |           |
| LNU02000097 | 2015 |  M07   |  8383 |           |
| LNU02000097 | 2015 |  M06   |  8406 |           |
