+-------------+------+--------+-------+-----------+
|  series id  | year | period | value | footnotes |
+-------------+------+--------+-------+-----------+
| LNS12024887 | 2018 |  M12   | 19111 |           |
| LNS12024887 | 2018 |  M11   | 19164 |           |
| LNS12024887 | 2018 |  M10   | 19156 |           |
| LNS12024887 | 2018 |  M09   | 19130 |           |
| LNS12024887 | 2018 |  M08   | 18721 |           |
| LNS12024887 | 2018 |  M07   | 19247 |           |
| LNS12024887 | 2018 |  M06   | 19160 |           |
| LNS12024887 | 2018 |  M05   | 19139 |           |
| LNS12024887 | 2018 |  M04   | 19227 |           |
| LNS12024887 | 2018 |  M03   | 19458 |           |
| LNS12024887 | 2018 |  M02   | 19385 |           |
| LNS12024887 | 2018 |  M01   | 19292 |           |
| LNS12024887 | 2017 |  M12   | 18922 |           |
| LNS12024887 | 2017 |  M11   | 18938 |           |
| LNS12024887 | 2017 |  M10   | 19235 |           |
| LNS12024887 | 2017 |  M09   | 19473 |           |
| LNS12024887 | 2017 |  M08   | 19356 |           |
| LNS12024887 | 2017 |  M07   | 19249 |           |
| LNS12024887 | 2017 |  M06   | 19153 |           |
| LNS12024887 | 2017 |  M05   | 19214 |           |
| LNS12024887 | 2017 |  M04   | 19308 |           |
| LNS12024887 | 2017 |  M03   | 19335 |           |
| LNS12024887 | 2017 |  M02   | 19178 |           |
| LNS12024887 | 2017 |  M01   | 19112 |           |
| LNS12024887 | 2016 |  M12   | 19130 |           |
| LNS12024887 | 2016 |  M11   | 19115 |           |
| LNS12024887 | 2016 |  M10   | 18916 |           |
| LNS12024887 | 2016 |  M09   | 19024 |           |
| LNS12024887 | 2016 |  M08   | 19196 |           |
| LNS12024887 | 2016 |  M07   | 18837 |           |
| LNS12024887 | 2016 |  M06   | 18844 |           |
| LNS12024887 | 2016 |  M05   | 19008 |           |
| LNS12024887 | 2016 |  M04   | 18868 |           |
| LNS12024887 | 2016 |  M03   | 19007 |           |
| LNS12024887 | 2016 |  M02   | 19045 |           |
| LNS12024887 | 2016 |  M01   | 18965 |           |
| LNS12024887 | 2015 |  M12   | 19013 |           |
| LNS12024887 | 2015 |  M11   | 18754 |           |
| LNS12024887 | 2015 |  M10   | 18848 |           |
| LNS12024887 | 2015 |  M09   | 18662 |           |
| LNS12024887 | 2015 |  M08   | 18928 |           |
| LNS12024887 | 2015 |  M07   | 18757 |           |
| LNS12024887 | 2015 |  M06   | 18703 |           |
| LNS12024887 | 2015 |  M05   | 18838 |           |
| LNS12024887 | 2015 |  M04   | 18600 |           |
| LNS12024887 | 2015 |  M03   | 18510 |           |
| LNS12024887 | 2015 |  M02   | 18819 |           |
| LNS12024887 | 2015 |  M01   | 18719 |           |
| LNS12024887 | 2014 |  M12   | 18636 |           |
| LNS12024887 | 2014 |  M11   | 18819 |           |
| LNS12024887 | 2014 |  M10   | 18958 |           |
| LNS12024887 | 2014 |  M09   | 18398 |           |
| LNS12024887 | 2014 |  M08   | 18335 |           |
| LNS12024887 | 2014 |  M07   | 18520 |           |
| LNS12024887 | 2014 |  M06   | 18367 |           |
| LNS12024887 | 2014 |  M05   | 18460 |           |
| LNS12024887 | 2014 |  M04   | 18373 |           |
| LNS12024887 | 2014 |  M03   | 18380 |           |
| LNS12024887 | 2014 |  M02   | 17934 |           |
| LNS12024887 | 2014 |  M01   | 18151 |           |
| LNS12024887 | 2013 |  M12   | 18394 |           |
| LNS12024887 | 2013 |  M11   | 18283 |           |
| LNS12024887 | 2013 |  M10   | 18120 |           |
| LNS12024887 | 2013 |  M09   | 18323 |           |
| LNS12024887 | 2013 |  M08   | 17990 |           |
| LNS12024887 | 2013 |  M07   | 18134 |           |
| LNS12024887 | 2013 |  M06   | 18085 |           |
| LNS12024887 | 2013 |  M05   | 17843 |           |
| LNS12024887 | 2013 |  M04   | 17934 |           |
| LNS12024887 | 2013 |  M03   | 17715 |           |
| LNS12024887 | 2013 |  M02   | 17879 |           |
| LNS12024887 | 2013 |  M01   | 17977 |           |
| LNS12024887 | 2012 |  M12   | 17887 |           |
