+-------------+------+--------+-------+-----------+
|  series id  | year | period | value | footnotes |
+-------------+------+--------+-------+-----------+
| LNS12000089 | 2018 |  M12   | 35689 |           |
| LNS12000089 | 2018 |  M11   | 35672 |           |
| LNS12000089 | 2018 |  M10   | 35693 |           |
| LNS12000089 | 2018 |  M09   | 35511 |           |
| LNS12000089 | 2018 |  M08   | 35352 |           |
| LNS12000089 | 2018 |  M07   | 35440 |           |
| LNS12000089 | 2018 |  M06   | 35299 |           |
| LNS12000089 | 2018 |  M05   | 35231 |           |
| LNS12000089 | 2018 |  M04   | 35103 |           |
| LNS12000089 | 2018 |  M03   | 35111 |           |
| LNS12000089 | 2018 |  M02   | 34991 |           |
| LNS12000089 | 2018 |  M01   | 34809 |           |
| LNS12000089 | 2017 |  M12   | 34631 |           |
| LNS12000089 | 2017 |  M11   | 34714 |           |
| LNS12000089 | 2017 |  M10   | 34647 |           |
| LNS12000089 | 2017 |  M09   | 34651 |           |
| LNS12000089 | 2017 |  M08   | 34379 |           |
| LNS12000089 | 2017 |  M07   | 34472 |           |
| LNS12000089 | 2017 |  M06   | 34396 |           |
| LNS12000089 | 2017 |  M05   | 34156 |           |
| LNS12000089 | 2017 |  M04   | 34406 |           |
| LNS12000089 | 2017 |  M03   | 34404 |           |
| LNS12000089 | 2017 |  M02   | 34242 |           |
| LNS12000089 | 2017 |  M01   | 34175 |           |
| LNS12000089 | 2016 |  M12   | 34225 |           |
| LNS12000089 | 2016 |  M11   | 33943 |           |
| LNS12000089 | 2016 |  M10   | 33906 |           |
| LNS12000089 | 2016 |  M09   | 33961 |           |
| LNS12000089 | 2016 |  M08   | 34021 |           |
| LNS12000089 | 2016 |  M07   | 33802 |           |
| LNS12000089 | 2016 |  M06   | 33687 |           |
| LNS12000089 | 2016 |  M05   | 33554 |           |
| LNS12000089 | 2016 |  M04   | 33412 |           |
| LNS12000089 | 2016 |  M03   | 33475 |           |
| LNS12000089 | 2016 |  M02   | 33355 |           |
| LNS12000089 | 2016 |  M01   | 33342 |           |
| LNS12000089 | 2015 |  M12   | 32979 |           |
| LNS12000089 | 2015 |  M11   | 32907 |           |
| LNS12000089 | 2015 |  M10   | 32805 |           |
| LNS12000089 | 2015 |  M09   | 32777 |           |
| LNS12000089 | 2015 |  M08   | 32784 |           |
| LNS12000089 | 2015 |  M07   | 32627 |           |
| LNS12000089 | 2015 |  M06   | 32749 |           |
| LNS12000089 | 2015 |  M05   | 32776 |           |
| LNS12000089 | 2015 |  M04   | 32718 |           |
| LNS12000089 | 2015 |  M03   | 32636 |           |
| LNS12000089 | 2015 |  M02   | 32608 |           |
| LNS12000089 | 2015 |  M01   | 32556 |           |
| LNS12000089 | 2014 |  M12   | 32433 |           |
| LNS12000089 | 2014 |  M11   | 32377 |           |
| LNS12000089 | 2014 |  M10   | 32276 |           |
| LNS12000089 | 2014 |  M09   | 32094 |           |
| LNS12000089 | 2014 |  M08   | 32029 |           |
| LNS12000089 | 2014 |  M07   | 31927 |           |
| LNS12000089 | 2014 |  M06   | 31936 |           |
| LNS12000089 | 2014 |  M05   | 31680 |           |
| LNS12000089 | 2014 |  M04   | 31704 |           |
| LNS12000089 | 2014 |  M03   | 31784 |           |
| LNS12000089 | 2014 |  M02   | 31748 |           |
| LNS12000089 | 2014 |  M01   | 31735 |           |
| LNS12000089 | 2013 |  M12   | 31622 |           |
| LNS12000089 | 2013 |  M11   | 31522 |           |
| LNS12000089 | 2013 |  M10   | 31259 |           |
| LNS12000089 | 2013 |  M09   | 31339 |           |
| LNS12000089 | 2013 |  M08   | 31219 |           |
| LNS12000089 | 2013 |  M07   | 31248 |           |
| LNS12000089 | 2013 |  M06   | 31196 |           |
| LNS12000089 | 2013 |  M05   | 31260 |           |
| LNS12000089 | 2013 |  M04   | 31141 |           |
| LNS12000089 | 2013 |  M03   | 31093 |           |
| LNS12000089 | 2013 |  M02   | 30995 |           |
| LNS12000089 | 2013 |  M01   | 31036 |           |
| LNS12000089 | 2012 |  M12   | 31139 |           |
| LNS12000089 | 2012 |  M11   | 31026 |           |
| LNS12000089 | 2012 |  M10   | 31002 |           |
| LNS12000089 | 2012 |  M09   | 30830 |           |
| LNS12000089 | 2012 |  M08   | 30664 |           |
| LNS12000089 | 2012 |  M07   | 30623 |           |
| LNS12000089 | 2012 |  M06   | 30652 |           |
| LNS12000089 | 2012 |  M05   | 30626 |           |
| LNS12000089 | 2012 |  M04   | 30714 |           |
| LNS12000089 | 2012 |  M03   | 30532 |           |
| LNS12000089 | 2012 |  M02   | 30370 |           |
| LNS12000089 | 2012 |  M01   | 30298 |           |
| LNS12000089 | 2011 |  M12   | 30765 |           |
| LNS12000089 | 2011 |  M11   | 30793 |           |
| LNS12000089 | 2011 |  M10   | 30608 |           |
| LNS12000089 | 2011 |  M09   | 30627 |           |
| LNS12000089 | 2011 |  M08   | 30757 |           |
| LNS12000089 | 2011 |  M07   | 30410 |           |
| LNS12000089 | 2011 |  M06   | 30457 |           |
