+-------------+------+--------+-------+-----------+
|  series id  | year | period | value | footnotes |
| LNS12000089 | 2011 |  M05   | 30537 |           |
| LNS12000089 | 2011 |  M04   | 30288 |           |
| LNS12000089 | 2011 |  M03   | 30504 |           |
| LNS12000089 | 2011 |  M02   | 30341 |           |
| LNS12000089 | 2011 |  M01   | 30416 |           |
| LNS12000089 | 2010 |  M12   | 30351 |           |
| LNS12000089 | 2010 |  M11   | 30237 |           |
| LNS12000089 | 2010 |  M10   | 30362 |           |
| LNS12000089 | 2010 |  M09   | 30344 |           |
| LNS12000089 | 2010 |  M08   | 30360 |           |
| LNS12000089 | 2010 |  M07   | 30349 |           |
| LNS12000089 | 2010 |  M06   | 30217 |           |
| LNS12000089 | 2010 |  M05   | 30143 |           |
| LNS12000089 | 2010 |  M04   | 30192 |           |
| LNS12000089 | 2010 |  M03   | 30075 |           |
| LNS12000089 | 2010 |  M02   | 30100 |           |
| LNS12000089 | 2010 |  M01   | 30046 |           |
| LNS12000089 | 2009 |  M12   | 29836 |           |
| LNS12000089 | 2009 |  M11   | 29830 |           |
| LNS12000089 | 2009 |  M10   | 29826 |           |
| LNS12000089 | 2009 |  M09   | 29788 |           |
| LNS12000089 | 2009 |  M08   | 29939 |           |
| LNS12000089 | 2009 |  M07   | 30049 |           |
| LNS12000089 | 2009 |  M06   | 30022 |           |
| LNS12000089 | 2009 |  M05   | 29924 |           |
| LNS12000089 | 2009 |  M04   | 30082 |           |
| LNS12000089 | 2009 |  M03   | 30170 |           |
| LNS12000089 | 2009 |  M02   | 30295 |           |
| LNS12000089 | 2009 |  M01   | 30438 |           |
+-------------+------+--------+-------+-----------+
